"Month";"Mean monthly precipitation, 1907 ? 1972"
"1907-01";0.39
"1907-02";0
"1907-03";0.2
"1907-04";0
"1907-05";0.04
"1907-06";0
"1907-07";0
"1907-08";0
"1907-09";0
"1907-10";0
"1907-11";0
"1907-12";0
"1908-01";0.6
"1908-02";0.7
"1908-03";0
"1908-04";0.05
"1908-05";0
"1908-06";0
"1908-07";0.1
"1908-08";0
"1908-09";0.45
"1908-10";0
"1908-11";0.1
"1908-12";0.1
"1909-01";0.82
"1909-02";0.02
"1909-03";0.66
"1909-04";0
"1909-05";0
"1909-06";1.81
"1909-07";0
"1909-08";0
"1909-09";0.02
"1909-10";1.22
"1909-11";0.42
"1909-12";1.2
"1910-01";1
"1910-02";0
"1910-03";0
"1910-04";0
"1910-05";0
"1910-06";0
"1910-07";0
"1910-08";0
"1910-09";0
"1910-10";0
"1910-11";0
"1910-12";0.7
"1911-01";0
"1911-02";1.4
"1911-03";0.41
"1911-04";0
"1911-05";0
"1911-06";0
"1911-07";0.07
"1911-08";0
"1911-09";0
"1911-10";0.01
"1911-11";0
"1911-12";0.6
"1912-01";0
"1912-02";0
"1912-03";0.4
"1912-04";0.98
"1912-05";0.25
"1912-06";0
"1912-07";0
"1912-08";0
"1912-09";0
"1912-10";1
"1912-11";0
"1912-12";0
"1913-01";0.06
"1913-02";0.35
"1913-03";0.15
"1913-04";0.07
"1913-05";1.59
"1913-06";0.98
"1913-07";2.67
"1913-08";0.35
"1913-09";0.95
"1913-10";0.11
"1913-11";0.27
"1913-12";1.13
"1914-01";2.34
"1914-02";0.53
"1914-03";0
"1914-04";0.47
"1914-05";0.35
"1914-06";0.69
"1914-07";1.58
"1914-08";0.18
"1914-09";0
"1914-10";0.14
"1914-11";0
"1914-12";0.2
"1915-01";0.25
"1915-02";1.1
"1915-03";0.5
"1915-04";0.8
"1915-05";0.16
"1915-06";0
"1915-07";0.3
"1915-08";0
"1915-09";0.4
"1915-10";0
"1915-11";0
"1915-12";0.3
"1916-01";2.33
"1916-02";0.01
"1916-03";0
"1916-04";0.1
"1916-05";0.04
"1916-06";0
"1916-07";0
"1916-08";0.46
"1916-09";1
"1916-10";1.03
"1916-11";0
"1916-12";0.1
"1917-01";0.2
"1917-02";0.67
"1917-03";0
"1917-04";0.3
"1917-05";0.99
"1917-06";0
"1917-07";0
"1917-08";0
"1917-09";0
"1917-10";0
"1917-11";0
"1917-12";0
"1918-01";0
"1918-02";1.01
"1918-03";0.29
"1918-04";0.05
"1918-05";0.2
"1918-06";1.29
"1918-07";0.14
"1918-08";0.27
"1918-09";0.71
"1918-10";0.55
"1918-11";0
"1918-12";0.31
"1919-01";0
"1919-02";0.77
"1919-03";0.99
"1919-04";0.66
"1919-05";2.21
"1919-06";0
"1919-07";0
"1919-08";0
"1919-09";0.71
"1919-10";0.03
"1919-11";0
"1919-12";0.19
"1920-01";0.11
"1920-02";0.4
"1920-03";0.52
"1920-04";0
"1920-05";0.22
"1920-06";0.19
"1920-07";0
"1920-08";1.07
"1920-09";0
"1920-10";0
"1920-11";0.06
"1920-12";0.1
"1921-01";0.48
"1921-02";0.04
"1921-03";0
"1921-04";0
"1921-05";3.2
"1921-06";0
"1921-07";0
"1921-08";0
"1921-09";0.6
"1921-10";0
"1921-11";0
"1921-12";0.4
"1922-01";0.9
"1922-02";0.29
"1922-03";0.8
"1922-04";0
"1922-05";0.1
"1922-06";0
"1922-07";0
"1922-08";0.12
"1922-09";0
"1922-10";0
"1922-11";0
"1922-12";0
"1923-01";1.04
"1923-02";0.15
"1923-03";0
"1923-04";0.84
"1923-05";0
"1923-06";1
"1923-07";0
"1923-08";0.02
"1923-09";0.03
"1923-10";0
"1923-11";1.02
"1923-12";0.23
"1924-01";0.08
"1924-02";0.02
"1924-03";1.13
"1924-04";0.13
"1924-05";0
"1924-06";0
"1924-07";0
"1924-08";0
"1924-09";0
"1924-10";0
"1924-11";0
"1924-12";0.25
"1925-01";0.08
"1925-02";0
"1925-03";0.5
"1925-04";2.9
"1925-05";0
"1925-06";0.8
"1925-07";0.6
"1925-08";0.92
"1925-09";0
"1925-10";1.3
"1925-11";0
"1925-12";0
"1926-01";0
"1926-02";0
"1926-03";0
"1926-04";0.05
"1926-05";0
"1926-06";0.05
"1926-07";0
"1926-08";0.05
"1926-09";0
"1926-10";0
"1926-11";1.279
"1926-12";0.9
"1927-01";0.08
"1927-02";0.3
"1927-03";0
"1927-04";0
"1927-05";0
"1927-06";0
"1927-07";0.55
"1927-08";0
"1927-09";0
"1927-10";0.4
"1927-11";0.3
"1927-12";0
"1928-01";0
"1928-02";0.05
"1928-03";0.1
"1928-04";0
"1928-05";0
"1928-06";0
"1928-07";0
"1928-08";0
"1928-09";0
"1928-10";0
"1928-11";0.22
"1928-12";0.05
"1929-01";0.21
"1929-02";0.32
"1929-03";0.26
"1929-04";0.2
"1929-05";0
"1929-06";0.83
"1929-07";0.07
"1929-08";0.75
"1929-09";0.1
"1929-10";0
"1929-11";0
"1929-12";0
"1930-01";0.53
"1930-02";0
"1930-03";0.3
"1930-04";0
"1930-05";2
"1930-06";0
"1930-07";0
"1930-08";0
"1930-09";0.05
"1930-10";0
"1930-11";0
"1930-12";0
"1931-01";0
"1931-02";0.8
"1931-03";0
"1931-04";0.72
"1931-05";0.46
"1931-06";0.45
"1931-07";0
"1931-08";0.59
"1931-09";0.35
"1931-10";0.2
"1931-11";0.7
"1931-12";0.35
"1932-01";0.15
"1932-02";0
"1932-03";0
"1932-04";1.18
"1932-05";0.5
"1932-06";0.33
"1932-07";0
"1932-08";0
"1932-09";0
"1932-10";0
"1932-11";0
"1932-12";0.1
"1933-01";1.4
"1933-02";0
"1933-03";0.05
"1933-04";0
"1933-05";0.2
"1933-06";0
"1933-07";0
"1933-08";0
"1933-09";0
"1933-10";0
"1933-11";0.07
"1933-12";0.4
"1934-01";0
"1934-02";0
"1934-03";0
"1934-04";0
"1934-05";0
"1934-06";0.55
"1934-07";0.52
"1934-08";0.4
"1934-09";0
"1934-10";0.65
"1934-11";0
"1934-12";0.35
"1935-01";0.4
"1935-02";0.06
"1935-03";0
"1935-04";0.2
"1935-05";0.04
"1935-06";0
"1935-07";0
"1935-08";1.05
"1935-09";0
"1935-10";0
"1935-11";0
"1935-12";0.13
"1936-01";0
"1936-02";1.35
"1936-03";0.2
"1936-04";0
"1936-05";0
"1936-06";0
"1936-07";0
"1936-08";0
"1936-09";0
"1936-10";0.8
"1936-11";0
"1936-12";0.8
"1937-01";0.6
"1937-02";1.1
"1937-03";0.75
"1937-04";0
"1937-05";0
"1937-06";0
"1937-07";0
"1937-08";0
"1937-09";0.03
"1937-10";0
"1937-11";0
"1937-12";0.5
"1938-01";0
"1938-02";0.18
"1938-03";1
"1938-04";1.77
"1938-05";1.28
"1938-06";0.41
"1938-07";0.21
"1938-08";0.47
"1938-09";0.1
"1938-10";0.59
"1938-11";0
"1938-12";0
"1939-01";0.2
"1939-02";0.1
"1939-03";0.83
"1939-04";0.41
"1939-05";0.28
"1939-06";0
"1939-07";0.2
"1939-08";0.35
"1939-09";0.25
"1939-10";0
"1939-11";0
"1939-12";0
"1940-01";0.1
"1940-02";0.05
"1940-03";0.33
"1940-04";0.63
"1940-05";0.53
"1940-06";0.18
"1940-07";0
"1940-08";0
"1940-09";0
"1940-10";1.03
"1940-11";0.02
"1940-12";0.56
"1941-01";0
"1941-02";0
"1941-03";0.7
"1941-04";1.12
"1941-05";0
"1941-06";0
"1941-07";0.93
"1941-08";0.4
"1941-09";0
"1941-10";0.76
"1941-11";0.06
"1941-12";0.07
"1942-01";0
"1942-02";0.22
"1942-03";0.04
"1942-04";0.03
"1942-05";0
"1942-06";0.21
"1942-07";0.15
"1942-08";0.5
"1942-09";0
"1942-10";0.15
"1942-11";0
"1942-12";0
"1943-01";1.35
"1943-02";0.04
"1943-03";0.4
"1943-04";0.64
"1943-05";0.02
"1943-06";0.95
"1943-07";0.3
"1943-08";0
"1943-09";0.09
"1943-10";0.04
"1943-11";0.75
"1943-12";0.05
"1944-01";0.4
"1944-02";0.2
"1944-03";0
"1944-04";0.05
"1944-05";0.05
"1944-06";0.8
"1944-07";0
"1944-08";0
"1944-09";0
"1944-10";0.12
"1944-11";0.48
"1944-12";0
"1945-01";0
"1945-02";0
"1945-03";0.87
"1945-04";0
"1945-05";0.71
"1945-06";0.46
"1945-07";0.1
"1945-08";2.23
"1945-09";0
"1945-10";1.96
"1945-11";0.2
"1945-12";0.03
"1946-01";0
"1946-02";0.1
"1946-03";1.1
"1946-04";0
"1946-05";0.48
"1946-06";0
"1946-07";0.82
"1946-08";0
"1946-09";1.1
"1946-10";1.63
"1946-11";1.26
"1946-12";0.9
"1947-01";0
"1947-02";0.3
"1947-03";0
"1947-04";0.42
"1947-05";0.81
"1947-06";0
"1947-07";0
"1947-08";0.04
"1947-09";0
"1947-10";0.1
"1947-11";0.02
"1947-12";0.47
"1948-01";0
"1948-02";0.05
"1948-03";0
"1948-04";0
"1948-05";1.12
"1948-06";0.89
"1948-07";0
"1948-08";0.07
"1948-09";0
"1948-10";0.55
"1948-11";0
"1948-12";0.7
"1949-01";1.04
"1949-02";0
"1949-03";0
"1949-04";0.01
"1949-05";1
"1949-06";0
"1949-07";0
"1949-08";0
"1949-09";0
"1949-10";0
"1949-11";0.25
"1949-12";0
"1950-01";0
"1950-02";0
"1950-03";0.15
"1950-04";0.2
"1950-05";0
"1950-06";0
"1950-07";0.07
"1950-08";0
"1950-09";0.92
"1950-10";0.36
"1950-11";0
"1950-12";0.08
"1951-01";0.1
"1951-02";0.76
"1951-03";0
"1951-04";1.02
"1951-05";0
"1951-06";0.69
"1951-07";1.19
"1951-08";0.13
"1951-09";0
"1951-10";0.67
"1951-11";0.85
"1951-12";0.42
"1952-01";1.5
"1952-02";0
"1952-03";0.25
"1952-04";1.94
"1952-05";0
"1952-06";0
"1952-07";0.83
"1952-08";0
"1952-09";0
"1952-10";0
"1952-11";0.11
"1952-12";0.61
"1953-01";0
"1953-02";0
"1953-03";0.15
"1953-04";0.09
"1953-05";0.54
"1953-06";0.29
"1953-07";0.09
"1953-08";0.03
"1953-09";0
"1953-10";0.05
"1953-11";0.21
"1953-12";0
"1954-01";0.87
"1954-02";0.89
"1954-03";0.9
"1954-04";0.18
"1954-05";1.7
"1954-06";0.63
"1954-07";0.04
"1954-08";0
"1954-09";0.13
"1954-10";0
"1954-11";0.21
"1954-12";0.23
"1955-01";0.51
"1955-02";0.33
"1955-03";0.09
"1955-04";0
"1955-05";1.27
"1955-06";0
"1955-07";0.65
"1955-08";0.1
"1955-09";0.6
"1955-10";0
"1955-11";0
"1955-12";1.64
"1956-01";0.71
"1956-02";0
"1956-03";0
"1956-04";0.61
"1956-05";0.61
"1956-06";0.2
"1956-07";0.97
"1956-08";0
"1956-09";0.34
"1956-10";0.7
"1956-11";0
"1956-12";0
"1957-01";0.26
"1957-02";0
"1957-03";0
"1957-04";0.45
"1957-05";1.43
"1957-06";0
"1957-07";0
"1957-08";0.42
"1957-09";0.15
"1957-10";1.09
"1957-11";0
"1957-12";0.58
"1958-01";0.13
"1958-02";0.22
"1958-03";0.76
"1958-04";0.5
"1958-05";0.29
"1958-06";0.78
"1958-07";0.05
"1958-08";1.77
"1958-09";0.44
"1958-10";0.15
"1958-11";0.53
"1958-12";0.13
"1959-01";0
"1959-02";0.9
"1959-03";0
"1959-04";0
"1959-05";0.15
"1959-06";0
"1959-07";0.25
"1959-08";0.01
"1959-09";0.31
"1959-10";0
"1959-11";0
"1959-12";0.13
"1960-01";0
"1960-02";0.04
"1960-03";0
"1960-04";0.38
"1960-05";0.1
"1960-06";0
"1960-07";0.42
"1960-08";0
"1960-09";0
"1960-10";0.38
"1960-11";1.34
"1960-12";0.29
"1961-01";0.1
"1961-02";0.15
"1961-03";0.38
"1961-04";0.1
"1961-05";0.42
"1961-06";0.1
"1961-07";0.58
"1961-08";1
"1961-09";0.12
"1961-10";0.01
"1961-11";0.18
"1961-12";0.39
"1962-01";0.13
"1962-02";0.33
"1962-03";0.3
"1962-04";0
"1962-05";2.19
"1962-06";0.53
"1962-07";0.63
"1962-08";0
"1962-09";0.45
"1962-10";0
"1962-11";0.01
"1962-12";0
"1963-01";0.18
"1963-02";0.82
"1963-03";0.08
"1963-04";0.05
"1963-05";0.96
"1963-06";0.66
"1963-07";0
"1963-08";0.1
"1963-09";0.57
"1963-10";0.22
"1963-11";0.55
"1963-12";0
"1964-01";0.03
"1964-02";0.02
"1964-03";0.03
"1964-04";0.03
"1964-05";1.84
"1964-06";0.14
"1964-07";0.96
"1964-08";0.58
"1964-09";0
"1964-10";0.63
"1964-11";0.1
"1964-12";0.5
"1965-01";0.2
"1965-02";0
"1965-03";0.23
"1965-04";2.03
"1965-05";0.69
"1965-06";1.08
"1965-07";0.46
"1965-08";1.61
"1965-09";0.17
"1965-10";0
"1965-11";1.09
"1965-12";1.05
"1966-01";0.1
"1966-02";0
"1966-03";0
"1966-04";0
"1966-05";0.46
"1966-06";0.07
"1966-07";0
"1966-08";0.61
"1966-09";1.08
"1966-10";0
"1966-11";0.16
"1966-12";0.97
"1967-01";0.4
"1967-02";0.12
"1967-03";0
"1967-04";2.07
"1967-05";0.07
"1967-06";0.46
"1967-07";1.02
"1967-08";0.33
"1967-09";0.73
"1967-10";0
"1967-11";0.12
"1967-12";0.19
"1968-01";1.18
"1968-02";1.72
"1968-03";0.24
"1968-04";0.3
"1968-05";0.27
"1968-06";0.2
"1968-07";0.68
"1968-08";0.49
"1968-09";0
"1968-10";0.5
"1968-11";0
"1968-12";0.19
"1969-01";1.72
"1969-02";1.58
"1969-03";0.31
"1969-04";0.1
"1969-05";0.62
"1969-06";1.35
"1969-07";0.02
"1969-08";0.06
"1969-09";0.36
"1969-10";0.04
"1969-11";0.19
"1969-12";0.11
"1970-01";0.028
"1970-02";0.023
"1970-03";0.021
"1970-04";0.017
"1970-05";0
"1970-06";0.016
"1970-07";0.101
"1970-08";0.083
"1970-09";0
"1970-10";0
"1970-11";0.03
"1970-12";0.017
"1971-01";0.001
"1971-02";0.013
"1971-03";0.004
"1971-04";0.064
"1971-05";0.081
"1971-06";0.029
"1971-07";0.019
"1971-08";0.102
"1971-09";0
"1971-10";0.096
"1971-11";0.071
"1971-12";0.11
"1972-01";0.001
"1972-02";0
"1972-03";0.001
"1972-04";0.001
"1972-05";0.046
"1972-06";0.104
"1972-07";0
"1972-08";0.028
"1972-09";0.05
"1972-10";0.438
"1972-11";0.003
"1972-12";0.012

Mean monthly precipitation, 1907 ? 1972

